source,app_name,app_id,review_id,review_title,review_text,rating,user_name,review_date,developer_response,country,extracted_at
Apple App Store,nueva-banbif-app,6736497481,14038840267,Voicebank y qr,Me encanta el voicebank y que ahora puedo pagar QR!!!,5,{'label': 'kio198'},2026-05-07 18:00:55+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14033228179,Me encanta,"La aplicación ha mejorado mucho, todo es más fácil y rápido",5,{'label': 'Dealrg123'},2026-05-06 04:21:52+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010804816,Buena App,Excelente App!!!,5,{'label': 'jhhvjbbjjnk'},2026-04-29 23:04:12+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010801923,Buena sin embargo aún tiene puntos de mejora como el pago con QR por el resto súper buena!,Buena sin embargo aún tiene puntos de mejora como el pago con QR por el resto súper buena!,4,{'label': 'Wen$$13'},2026-04-29 23:02:58+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010801235,Excelente,Excelente las nuevas funciones,5,{'label': 'hvcarla'},2026-04-29 23:02:41+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010797655,Interactiva,Muy intuitiva y fácil de usar,5,{'label': 'Gaby9501'},2026-04-29 23:01:05+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010770311,Buena app,Todo bien con la aplicación,5,{'label': 'Ronaldx07'},2026-04-29 22:49:03+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010764734,Gran APP,Todo bien. Muy buena APP,5,{'label': 'Betoal19'},2026-04-29 22:46:38+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010758634,Fácil de usar,Es tuitiva y tiene toda la información a tu alcance.,5,{'label': 'Hugo SM.'},2026-04-29 22:43:59+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010612381,Buena App,Excelente app! Sigamos para adelante!,5,{'label': 'FabrizioEL'},2026-04-29 21:40:29+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010610376,Me encanta!,Súper intuitiva!,5,{'label': 'Tangled.11'},2026-04-29 21:39:38+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010597927,"Moderna, tiene todo lo necesario",Excelente,5,{'label': 'JuanPablo00007'},2026-04-29 21:34:19+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010593148,Excelente,Muy rapida,5,{'label': 'edudeveloper6390'},2026-04-29 21:32:17+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010593060,Excelente UxP,Todo bien con el nuevo estilo y ahora se nota la velocidad de la aplicación,5,{'label': 'Alumno2016-1637797'},2026-04-29 21:32:14+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010580206,Banbif genial !,Me gustó mucho la nueva app! Es mucho más fácil de utilizar !,5,{'label': 'Jhonatan164'},2026-04-29 21:26:42+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010579760,Excelente aplicación,"A comparación de la anterior , esta va muchísimo mejor",5,{'label': 'joseGoicochea'},2026-04-29 21:26:31+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14010570178,Comentario,Me funciona muy bien,5,{'label': 'Marizavela'},2026-04-29 21:22:27+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14009437316,Presenta Fallas,"Últimamente está fallando, es la única app que presentó problemas.",1,{'label': 'Nataly Sc'},2026-04-29 14:31:14+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,14009395006,No me funciona,"Desde que se está usando el aplicativo no puedo hacer transferencias no se activa me acerco y no hay solucion, me mencionan q es pro ser iPhone",1,{'label': 'Ro@ri'},2026-04-29 14:17:29+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,13986299791,Buenazo!!!,Todo super Ok !!!,5,{'label': 'Meli.GM'},2026-04-22 20:13:50+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,13986290968,Buena,Excelente app,5,{'label': 'Eri1790'},2026-04-22 20:10:17+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,13986289099,Muy buena app,Excelente app,5,{'label': 'Rde2411'},2026-04-22 20:09:32+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,13986280460,Expectacular,Expectacular,5,{'label': 'Anali Victorio'},2026-04-22 20:06:05+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,13986265560,App,Mucho más agil para las transacciones,4,{'label': 'AF0310'},2026-04-22 20:00:09+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,13986252149,Súper Buena Actualización,"Esta nueva app es otra cosa! Súper buena, fluida y fácil de usar!",5,{'label': 'PatrickThGr8'},2026-04-22 19:54:53+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,13969760472,Nuevo app,Me gusta el nuevo app,5,{'label': 'Banbif26'},2026-04-18 04:34:17+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,13969052807,Mejor que la antigua,"La verdad que está mucho mejor que la anterior , se pueden hacer más cosas , y es más dinámica .",4,{'label': 'karinha torres / like 😃'},2026-04-17 23:35:12+00:00,,pe,2026-06-16T16:06:10.544043
Apple App Store,nueva-banbif-app,6736497481,13957273852,No funciona en iPhone 6S,"Al abrir la aplicación se cierra inmediatamente, por lo que no se puede obtener el token digital, y eso vuelve completamente inservible la Banca por Internet Web.",1,{'label': 'zorroperu'},2026-04-14 14:50:08+00:00,,pe,2026-06-16T16:06:10.544043
