source,app_name,app_id,review_id,review_title,review_text,rating,user_name,review_date,developer_response,country,extracted_at
Apple App Store,agora-ahorra-y-disfruta,1478814349,13607048604,Ni deja poner los datos bien,"La app es una basura, para poner el número de teléfono se para borrando y lo tengo que poner una y otra vez. Luego dice que mi dni no está registrado con mi número y cuenta",1,{'label': 'Jaymo684'},2026-01-07 22:00:19+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13605609165,Horror,"No solo el diseño es abominable, sino que funcionalmente es una patraña, se cuelga, no funciona ni con FaceID ni con Wallet, terrible la verdad.",1,{'label': 'harryeldinosaurio'},2026-01-07 13:56:49+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13603397892,Buena y útil,La app es sencilla de usar y no he tenido problemas hasta ahora,5,{'label': 'ValeriaYL'},2026-01-06 23:14:22+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13588040357,Desligues sola de la cuenta,"Lo que pasa ya más de una vez entro a mi aplicación y de la nada me pide mi teléfono y contraseña de nuevo todo de cero y cuando los pongo pasa que me dice error y si me equivoco más de 3 veces se bloquea por 24 horas, eso causa cierta incertidumbre porque a veces uno quiere hacer pagos y no está el Dinero a la mano",3,{'label': 'Alvaro Chambilla'},2026-01-03 03:12:40+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13542781902,Account Creation so tedious,"Kyc now working properly, multiple setbacks to create a new account after i was a legacy user , cant create account and cant redeem prices app is so bad",1,{'label': 'hbusr'},2025-12-22 14:50:57+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13506765189,Inservible,"De un día para otro no reconoce mi usuario ni mi clave, si no fuera por la otra app que existe que es Oh! No podría acceder a mi dinero, muy mal",2,{'label': 'Zmakkflslala'},2025-12-13 00:04:59+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13505889170,Te cobran de la tarjeta y cancelan (anulan) el pedido,"Es realmente perjudicial que uno pida medicamentos por esta aplicación a la Farmacia Inkafarma, se cobren el monto de la tarjeta, y cancelan (anulan) el pedido y afectan el día entero y la salud de uno! porque no puedo usar ese dinero hasta cuando el banco libere la retención, o sea en tres o cuatro días, he pedido un medicamento de manera urgente y hacen eso. Con plaza vea está bien todo, pero el carácter de este pedido y que lo hayan anulado tan rápido me hace pensar que tienen bajos estándares. Además que ha sido totalmente perjudicial para mí.",1,{'label': 'JJ_all_right'},2025-12-12 18:25:49+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13459305581,Demasiadas notificaciones,"Aún deshabilitando las notificaciones de promociones desde los ajustes, estas siguen llegando varias veces al día",1,{'label': 'miguel velasquez portugal'},2025-11-30 15:52:11+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13453539430,Errores,"Buen servicio, pero la app una lágrima",2,{'label': 'Vndtt777'},2025-11-29 05:22:31+00:00,,pe,2026-06-16T15:55:16.694950
Apple App Store,agora-ahorra-y-disfruta,1478814349,13451103491,No sirve,"Pésima la app, tengo problemas para pagar y hace más de un mes que no dan una solución, el app de Tottus funciona super bien, igual que el de Wong, Agora no sirve, yo he comprado desde que iniciaron pero ahora estoy sumamente decepcionada",1,{'label': 'Anah compradora decepcionada'},2025-11-28 14:53:54+00:00,,pe,2026-06-16T15:55:16.694950
